"BehaviorSpace results (NetLogo 6.2.0)"
"Wound infection model.nlogo"
"one cell experiment"
"04/12/2021 21:18:47:734 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10"
"Macrophage_response","Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,
"Immune-cell-infiltration","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,
"Neutrophil_response","Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,
"Prolif-rate1","12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,
"Prolif-rate2","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"Initial-bacteria1","0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,
"Initial-bacteria2","60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,
"predatory","false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,
"NewBactAmount","3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,
"[reporter]","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages"
"[final]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","709","0","709","465","316","724","0","724","462","299","702","0","702","446","305","702","0","702","457","307","707","0","707","458","308","728","0","728","459","308","695","0","695","454","279","732","0","732","435","298","692","0","692","448","327","744","0","744","464","295"
"[mean]","105.90547263681592","0","106.20398009950249","127.30845771144278","136.75124378109453","106.24378109452736","0","106.54228855721394","121.4726368159204","127.38308457711443","110.65671641791045","0","110.95522388059702","120.4776119402985","130.61194029850745","106.4776119402985","0","106.77611940298507","122.33333333333333","131.14427860696517","105.21890547263682","0","105.51741293532338","120.30845771144278","133.22885572139305","109.91044776119404","0","110.2089552238806","127.14427860696517","131.1492537313433","106.7910447761194","0","107.08955223880596","120.14925373134328","118.22388059701493","114.11442786069652","0","114.41293532338308","118.14427860696517","128.16417910447763","107","0","107.29850746268657","121.49751243781094","137.73134328358208","107.86069651741293","0","108.1592039800995","125.09452736318408","124.88059701492537"
"[steps]","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"

"[all run data]","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages","number-of-cells","count bacteria1","count bacteria2","count neutrophils","count macrophages"
,"0","0","60","5","0","0","0","60","5","0","0","0","60","5","0","0","0","60","5","0","0","0","60","5","0","0","0","60","5","0","0","0","60","5","0","0","0","60","5","0","0","0","60","5","0","0","0","60","5","0"
,"92","0","92","10","0","87","0","87","10","0","91","0","91","10","0","84","0","84","10","0","92","0","92","10","0","86","0","86","10","0","88","0","88","10","0","81","0","81","10","0","90","0","90","10","0","98","0","98","10","0"
,"120","0","120","15","0","119","0","119","15","0","119","0","119","15","0","117","0","117","15","0","118","0","118","15","0","117","0","117","15","0","119","0","119","15","0","119","0","119","15","0","120","0","120","15","0","120","0","120","15","0"
,"182","0","182","20","0","171","0","171","20","0","180","0","180","20","0","161","0","161","20","0","179","0","179","20","0","166","0","166","20","0","172","0","172","20","0","160","0","160","20","0","180","0","180","20","0","194","0","194","20","0"
,"231","0","231","25","0","233","0","233","25","0","232","0","232","25","0","221","0","221","25","0","231","0","231","25","0","226","0","226","25","0","231","0","231","25","0","231","0","231","25","0","233","0","233","25","0","233","0","233","25","0"
,"347","0","347","30","0","325","0","325","30","0","343","0","343","30","0","300","0","300","30","0","338","0","338","30","0","317","0","317","30","0","325","0","325","30","0","305","0","305","30","0","338","0","338","30","0","366","0","366","30","0"
,"422","0","422","40","0","427","0","427","45","0","422","0","422","45","0","401","0","401","44","0","418","0","418","44","0","419","0","419","43","0","421","0","421","41","0","425","0","425","41","0","435","0","435","41","0","435","0","435","44","0"
,"566","0","566","50","0","563","0","563","53","0","565","0","565","54","0","493","0","493","52","0","532","0","532","54","0","538","0","538","52","0","522","0","522","50","0","531","0","531","48","0","574","0","574","49","0","619","0","619","53","0"
,"609","0","609","58","0","647","0","647","61","0","635","0","635","63","0","587","0","587","61","0","598","0","598","62","0","637","0","637","62","0","594","0","594","59","0","660","0","660","57","0","663","0","663","58","0","682","0","682","62","0"
,"692","0","692","67","0","701","0","701","70","0","696","0","696","71","0","665","0","665","68","0","677","0","677","71","0","691","0","691","69","0","653","0","653","67","0","711","0","711","67","0","691","0","691","67","0","744","0","744","70","0"
,"701","0","701","75","0","723","0","723","76","0","702","0","702","79","0","702","0","702","76","0","685","0","685","79","0","723","0","723","75","0","685","0","685","75","0","732","0","732","74","0","688","0","688","76","0","728","0","728","78","0"
,"709","0","709","83","0","724","0","724","84","0","701","0","701","87","0","701","0","701","84","0","707","0","707","89","0","728","0","728","82","0","688","0","688","85","0","724","0","724","82","0","692","0","692","83","0","736","0","736","86","0"
,"693","0","693","94","0","715","0","715","103","0","684","0","684","103","0","695","0","695","99","0","692","0","692","110","0","721","0","721","93","0","695","0","695","97","0","719","0","719","95","0","677","0","677","101","0","713","0","713","105","0"
,"692","0","692","105","0","706","0","706","113","0","675","0","675","112","0","692","0","692","109","0","697","0","697","118","0","711","0","711","104","0","688","0","688","110","0","707","0","707","108","0","682","0","682","108","0","705","0","705","116","0"
,"674","0","674","119","0","702","0","702","127","0","659","0","659","122","0","683","0","683","119","0","672","0","672","126","0","693","0","693","113","0","685","0","685","120","0","703","0","703","119","0","667","0","667","120","0","685","0","685","128","0"
,"679","0","679","130","0","691","0","691","140","0","666","0","666","130","0","680","0","680","127","0","673","0","673","138","0","682","0","682","125","0","670","0","670","132","0","681","0","681","130","0","656","0","656","134","0","679","0","679","139","0"
,"668","0","668","140","0","677","0","677","150","0","656","0","656","137","0","658","0","658","139","0","651","0","651","145","0","680","0","680","135","0","660","0","660","141","0","673","0","673","139","0","633","0","633","143","0","664","0","664","147","0"
,"665","0","665","152","0","669","0","669","161","0","648","0","648","148","0","650","0","650","146","0","661","0","661","153","0","664","0","664","146","0","645","0","645","153","0","671","0","671","149","0","643","0","643","151","0","671","0","671","158","0"
