"BehaviorSpace results (NetLogo 6.2.0)"
"Wound infection model.nlogo"
"example experiment"
"04/12/2021 21:17:07:973 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11","12","12","12","12","12","13","13","13","13","13","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","17","17","17","17","17","18","18","18","18","18","19","19","19","19","19","20","20","20","20","20"
"Macrophage_response","Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,
"Immune-cell-infiltration","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,
"Neutrophil_response","Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,,"Normal",,,,
"Prolif-rate1","12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,
"Prolif-rate2","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"Initial-bacteria1","30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,,"30",,,,
"Initial-bacteria2","60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,
"predatory","false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,
"NewBactAmount","3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,,"3",,,,
